"module name","license","repository"
"@typescript-eslint/utils@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@typescript-eslint/visitor-keys@5.59.6","MIT","https://github.com/typescript-eslint/typescript-eslint"
"@unocss/astro@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/cli@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/config@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/core@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/core@0.52.1","MIT","https://github.com/unocss/unocss"
"@unocss/extractor-arbitrary-variants@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/extractor-svelte@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/inspector@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/postcss@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-attributify@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-icons@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-mini@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-tagify@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-typography@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-uno@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-web-fonts@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/preset-wind@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/reset@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/scope@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-attributify-jsx-babel@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-attributify-jsx@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-compile-class@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-directives@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-directives@0.52.1","MIT","https://github.com/unocss/unocss"
"@unocss/transformer-variant-group@0.52.0","MIT","https://github.com/unocss/unocss"
"@unocss/vite@0.52.0","MIT","https://github.com/unocss/unocss"
"@webassemblyjs/ast@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-numbers@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.11.6","MIT","https://github.com/xtuc/webassemblyjs"
